Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities,Appliances,Elevator,Room Area,Balcony,Floor,Links
House,Stone,550 sq.m.,3,5,3+,Major Renovation,400 sq.m.,"Խորեն Խաչատրյանի փողոց 2-րդ նրբանցք 10, Երևան","$2,500 monthly",USD,"Տրվում է երկարաժամկետ վարձակալությամբ առնվազն մեկ տարի ժամկետով։ Առկա է այն ինչ նկարներով երեւում է։ Նաւ ենթակա է վաճառքի գինը 500.000 $:Сдается в долгосрочную аренду минимум на год. Есть то, что видно на картинках. Ешё продаётся цена 500.000 $:",Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/17492614
House,Stone,65 sq.m.,2,4,1,Euro Renovation,10 sq.m.,Yerevan › Shengavit,"250,000 ֏ monthly",AMD,"Only long-termLONG TERM:The price is final. The house will be for sale2X комното=1 спальная 1гостиницаIt has a separate entranceOwn houseCode- mg0022 EMERGENCY price is finalShengavit near the subwayLong termhouse property equipment is availablethe house has all necessary utilities.""it's fine with us""For details, contact the specified phone numberCode GM0022Translated from Armenian",Nov-24-2022_22-39,Available,1 spot,3,Yes,No,Not included,By Agreement,,,,,,,https://list.am/en/item/17488112
House,Stone,350 sq.m.,3,5,3+,Partial Renovation,2000 sq.m.,"Ղափանցյան փողոց 125, Երևան","$6,800 monthly",USD,"A private house is for rent in Arabkir community, near Yeraz residential district. It has an outdoor infinity pool, a large green area, a beautiful view of the lake սար Mount Masis, summer kitchen, a fire area in the park, 4 bedrooms, 4 bathrooms, a fireplace, etc.Translated from Armenian",Nov-24-2022_22-39,Available,3 or more spots,8+,Yes,Yes,By Agreement,2 months,,,,,,,https://list.am/en/item/17214261
House,Stone,500 sq.m.,3,7,3+,Euro Renovation,770 sq.m.,"Shahumyan 17th street 1st lane, Yerevan","$5,000 monthly",USD,"‼️Сдается особняк со удобствами, 3 этажа, 6 спален, 5 санузлов, ухоженный двор, парковка, зимний сад, бассейн и т дԿոդ 80999",Nov-24-2022_22-39,,,7,Yes,Yes,By Agreement,1 month,,,,,,,https://list.am/en/item/17479640
House,Stone,40 sq.m.,1,2,1,Major Renovation,5 sq.m.,"Տիչինայի փողոց 125/6, Երևան","130,000 ֏ monthly",AMD,"DEPOSIT required, all facilities available, call for detailsmaximum of 2 people, 3rd person with extra chargeTranslated from Armenian",Nov-24-2022_22-39,Available,Not available,3,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/17990443
House,Stone,70 sq.m.,1,2,1,Euro Renovation,,Yerevan › Arabkir,"15,000 ֏ daily",AMD,"A 2-room renovated private house is for rent.There will also be a discount depending on the number of days.Tableware, linen and appliances. Hot and cold water.Wi-Fi.Possibility to park the car both outside and inside.Owner.The pictures match.The approximate area Komitas-Papazyan intersection.Translated from Armenian",Nov-24-2022_22-39,,2 spots,3,Yes,No,Included,Without prepayment,,,,,,,https://list.am/en/item/18098747
House,Stone,85 sq.m.,1,3,1,Euro Renovation,,Yerevan › Arabkir,"330,000 ֏ monthly",AMD,"Տրվում է վարձով 3 սենյականոց սեփական տան 2 սենյակը։ 3 րդը փակ է լինելու։ Կոմիտասում, Սլավոնական համալսարանի մոտ։ Առկա է նաև կահույք և տեխնիկա։ Նկարները համապատասխանում են։ Baxi ջեռուցման համակարգով, տաք հատակ։ Շատ տաք ու մաքուր տուն է։Կարելի է նաև օրավաձովՍեփականատեր։Сдается частный дом в аренду,В комитасе. В районе Славянского университета. 2 спальня (вторая спальня будет закрыта), 1 большой зал, 1 ванная комната, 1 кухня и прихожая. Мебель и бытовая техника. Фотографии соответствуют. Система отопления Baxi, теплый пол. Очень тёплый и чистый дом. Собственник.Можно и посуточноБез комиссии.For rent home In avenue Komitas, Near the Slavic University. 2 bedroom (the second bedroom will be closed), 1 big holl 1 bathroom, 1 kitchen and hallway. There is also furniture and appliances. The photos match. Baxi heating system, underfloor heating. Very warm and clean house. Conditions and price are changeable, I will also hear your offer.It is also possible for a dayOwner.",Nov-24-2022_22-39,Available,2 spots,3,Yes,No,Not included,2 weeks,,,,,,,https://list.am/en/item/16879582
House,Stone,1000 sq.m.,4+,8+,3+,Major Renovation,,"Barbyus Street, Yerevan","$5,000 monthly",USD,"Barbyus street (Blur district) Private house for rentIt has 5 bedrooms, 6 bathrooms, swimming pool, sauna, Russian bath,An open-air terrace on the roof, the balconies of the house offer a beautiful view of the Hrazdan Gorge.It is also suitable for use as an office space.Translated from Armenian",Nov-24-2022_22-39,Available,1 spot,8+,Yes,Yes,Not included,2 months,,,,,,,https://list.am/en/item/18144205
House,Stone,600 sq.m.,3,8+,3+,Major Renovation,600 sq.m.,"Noy District, Yerevan","$2,500 monthly",USD,"Newly built 3-storey monolith is for sale and rent in Noi district - Uninhabited 3-storey detached house, residential with 600 square meters of area and 600 square meters of land next to the house. It was built with a strong foundation and high earthquake resistance. The 1st floor is a basement on one side, the other is a full 1st floor with storage rooms. The house has been completely renovated, an iron entrance door, panoramic windows have been installed, the floor is covered with high-quality bamboo chipboard and tiles. The bathrooms are tiled with European-made tiles and are equipped with sanitary ware. The house has more than 7 rooms, 5 bathrooms and open balconies. The yard is well-kept, has a summer lounge with a fireplace, a beautiful fir tree, a decorative waterfall, a small garden, indoor and outdoor parking for several cars. It is fully fenced and has a remote controlled gate.Translated from Armenian",Nov-24-2022_22-39,By agreement,2 spots,3,Yes,Yes,Not included,2 months,"TElevision, internet, air conditioner, swimming pool, sauna, fireplace, barbecue oven, billiard, gazebo, alarm system","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",,,,,https://list.am/en/item/18117522
House,Stone,199 sq.m.,2,5,2,Major Renovation,100 sq.m.,"Sarmen street, Yerevan","$2,500 monthly",USD,"Two-story, renovated, furniture and appliances, individual heating system, 2 air conditionersYard - 100 square meters, 5 bedrooms, 2 bathrooms, 1 living room, 2 bathrooms,Open balcony, intercom,Garage for 2 cars.Translated from Armenian",Nov-24-2022_22-39,,,6,Yes,Yes,Not included,2 months,,,,,,,https://list.am/en/item/18202499
