Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Appliances,Window Views,Links
Stone,No,Not available,1,850 sq.m.,4,1,from 2.8 m,1,Open balcony,By agreement,Partial Renovation,"5-րդ փողոց 7, Պտղնի","$60,000",USD,"Private house for urgent sale, call for detailsTranslated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/18291266
Stone,Yes,Not available,4,74 sq.m.,3,1,from 3 m,2,Not available,Not available,No Renovation,"13-я улица 47, Зовуни","300,000 ֏",AMD,"Zovuni 13 street 43, [b] 2 km from Davtashen. , near the central street [/ b] 2, 3 and 4-room apartments are for sale ․ [b] Newly built four-storey building, high quality entrance doors and European windows, without internal renovation, from 40 to 150 sq. M., 1 sq. M. = 275000-325000 ․ [/ b] 60 m from the bus stop. High position ․ [b] Side ․ [/ b] Optional- [b] Garage (or parking lot) available [/ b] Ruslan ․Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/13019508
Panels,No,Available,9,54 sq.m.,2,1,from 2.7 m,6,Closed balcony,Available,Cosmetic Renovation,"3rd Micro-District 42, Abovyan","21,000,000 ֏",AMD,"Վաճառվում է 1 սենյականոց բնակարան դարձրած 2, չեխական նախագիծ, 9 հարկանի շենքի 6-րդ հարկումԲնակարանը վաճառվում է ամբողջ, կահույքի և տեխնիկայի հետ միասին։եվրոլուսամուտԷլ. Լարերը փոխվածպատերը հաստացրածբնական օդափոխություն, որի շնորհիվ տունը խոնավ չէBaxiդպրոցից, մանկապարտեզից, շուկայից, կանգառից մոտ 100-150 մետր հեռավորության վրաՀասցե' Աբովյան, 3-րդ միկրոշրջան 42 շենք։Продаётся большая однокомнатная квартира 54 м, переделанная в двухкомнатную, на 6-ом этаже 9-ти этажного дома. Квартира продаётся вместе с мебелью и техникой. Квартира в хорошем состоянии.Адрес: Город Абовян 3-ий микрорайон, дом 42Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/18315175
Stone,No,Not available,5,34 sq.m.,2,1,from 3.5 m,2,Not available,,Partial Renovation,Kotayk › Nor Hachen,"$24,500",USD,"The apartment is a dormitory. Iron door, euro windows (just changed), sunny, constant hot and cold water. The apartment is in good condition. Price is negotiable.Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/11994316
Stone,No,Not available,2,51 sq.m.,1,1,from 2.8 m,2,Multiple balconies,,No Renovation,"Grigor Magistros street, Border Tsakhkadzor","$45,000",USD,"Продам квартиру в Цахкадзоре, квартира находится в курортной зоне. 1 комнатную с общей площадью 51кв. М, 2 больших балкона, хороший паркет, требуется ремонт. За счёт балконов, можно увеличить к-во комнат, что все и делают, также отличный вариант для дачи. Это бывший большой 2-х этажный пансионат, находится в лесной зоне, сейчас в собственности. Один собственник. Звонить по тел: 8 926 718-79-89, есть ветсап и вайбер",Nov-25-2022_12-54,,,,,https://list.am/en/item/9007320
Stone,No,Not available,4,62 sq.m.,2,1,from 2.8 m,3,Open balcony,By agreement,Major Renovation,Kotayk › Kasagh,"$51,000",USD,"Կոդ՝ D-22995Վաճառվում է 2 սենյականոց բնակարան Քասախում՝ 4 հարկանի քարե շենքի 3-րդ հարկում։ Բնակարանը միջին վիճակում է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ մանրահատակ, սանհանգույցը՝ համակցված, սալիկապատ։ Բնակարանն ունի բաց լոջա, ջեռուցման համակարգ, մշտական ջուր և գազ։ Հնարավոր է վաճառք ավտոտնակի և կահույքի հետ միասին։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։An apartment for sale in Qasakh. The rooms' quantity is 2 (a hall and a bedroom) The apartment is middle renovated and is located on the 3RD floor of the 4-storey stone building. The entrance door is iron-made, the windows are euro-based, the floor is covered by parquet, the bathroom is combined and tiled. The apartment has a balcony, heating system and is supplied with constant water and gas. It is possible to sell together with the garage and furniture.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-25-2022_12-54,,,,,https://list.am/en/item/18283221
Stone,No,Not available,4,75 sq.m.,3,1,from 2.75 m,1,Open balcony,Not available,No Renovation,Yerevan › Shengavit,"$78,000",USD,"3rd part, Nizami street, Czech projectA 3-room apartment is for sale.Apartment is not renovatedTranslated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/17426743
Stone,No,Not available,5,46 sq.m.,1,1,from 2.8 m,2,Closed balcony,,Partial Renovation,"Միկրոշրջան թաղամաս 44, Հրազդան","$10,000",USD,"It has the possibility of turning it into a 2-room apartment, a locker, it has a closet. URGENT $ 10,000!Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/16561471
Stone,No,Not available,5,5153 sq.m.,2,2,from 2.8 m,1,Closed balcony,,Old Renovation,"Kentron block, Hrazdan","$15,000",USD,"Price is negotiable, Call in case of questionsTranslated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/17174972
Panels,No,Available,9,67 sq.m.,2,1,from 2.6 m,8,Closed balcony,Not available,No Renovation,"Yeritasardutyan street 11, Charentsavan","$35,000",USD,"Urgent! An apartment is for sale in Charentsavan, the apartment is located in a micro-district (8th district) It has a repair problem, it has a storage room inside the apartment, the corridor of the apartment has been added at the expense of the entrance. It is for sale without furniture. THE APARTMENT IS NOT FOR RENT, IT IS FOR RENT.Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/15800701
