Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links
Industrial and Manufacturing,2500 sq.m.,Gegharkunik › Sevan,"$5,000",USD,"Производственное помещение со своими удобствами, производительными станками можно производить консервы варенье компоты",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17632888
Retail Space,450 sq.m.,"Ազատության փողոցի 4-րդ փակուղի 1, Գավառ","$130,000",USD,"The rent is AMD 500,000...Selling price $130,000...The total area is about 450 square meters...The internal height is about 4m...It is 50-60 cm above the ground...Price negotiable for cash...It is also possible to exchange with a car (in the size of the surface corresponding to the price of your car)With cadastre certificates, it is divided into 4 apartments of 80 square meters, the rest is a public shop.! BIG PROBLEM!Those who value 60-70 thousand cars at $130,000 should not call and be interested!Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17924384
Hotel,4500 sq.m.,Gegharkunik › Sevan,100 ֏,AMD,"An existing resort is for sale on the shore of Lake Sanaa, on the 5th km of the Sana-Chambarak highway, next to the Central Bank holiday house.The resort has a land of 4500 square meters, there are deluxe, semi-deluxe, standard cottages, pavilions, cafe, parking, gas, water, three-phase electricity. Has regular customers, is fully occupied during the holiday season.For details, call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-29,Available,Not available,First Line,Common from the Street,Direct Lease,3 months,Without prepayment,By Agreement,,https://list.am/en/item/16286215
Multifunctional Space,260 sq.m.,Gegharkunik › Martuni,$100,USD,"A two-storey commercial area is for rent in Martuni. Each floor is 130 square meters, has all the communal facilities, heating system, three-phase electricity. The area is expedient to use for office, commercial, banking and other similar structures. Price is negotiable.Translated from Armenian",Nov-24-2022_22-29,Available,Not available,First Line,Common from the Street,Direct Lease,3 months,By Agreement,Not included,,https://list.am/en/item/17722252
Everything Else,25 sq.m.,"Nairyan Street, Sevan town","60,000 ֏",AMD,"For rent is located in the central part of the city of Sevan. There is a security system, it has all the utilities. It is renovated, it has a sunny side and a high ceiling. Can serve as a beauty salon, photo studio, office and specialized shop.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16788371
Everything Else,300 sq.m.,"Nairyan Str., Sevan","100,000 ֏",AMD,Giny Пайманаграин. Срочно 2rd 3rd harkery. Arenda. Kentron tex. Mardashat tex.Stap.,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/12657149
Retail Space,65 sq.m.,Gegharkunik › Sevan,"120,000 ֏",AMD,"Call for details, negotiableTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18029028
Office Space,100 sq.m.,Gegharkunik › Sevan,"55,000 ֏",AMD,"Office space for rent, total area 100 sq. M. M. It can be used as an office as well as a warehouse. Address: C. Sevan, Griboyedov st. , sh. 12, apt. 35:00Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18367828
Multifunctional Space,700 sq.m.,Gegharkunik › Gavar,"490,000 ֏",AMD,"3-storey private housemultifunctionalsuitable for family hotel, kindergarten, development center, various business activities;It has an adjacent area of 25,000 m/sq. , an active Armenian tavern. It is located on the most accessible highway of Gavar.A carriage is also possibleTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17439701
Multifunctional Space,1700 sq.m.,Gegharkunik › Gavar,"350,000 ֏",AMD,"Kinocomb multifunctional$250,000Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17439668
