Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Elevator,Parking,Room Area,Balcony,Floor,Links
Country House,Stone,60 sq.m.,1,3,1,Available,3 or more spots,Major Renovation,200 sq.m.,7,Yes,Yes,By Agreement,By Agreement,Tavush › Dilijan,"20,000 ֏ daily",AMD,"A capitally renovated private house is for daily rent in the heart of Haghartsin. Fully furnished, with constant hot and cold water, kitchen and bedding. Has heating system. The guest house is located next to the salt land and has a pavilion right on the river bank.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/16461183
House,Stone,700 sq.m.,2,7,3+,Available,3 or more spots,Major Renovation,3000 sq.m.,1,No,No,Included,By Agreement,"Первая улица 28, Дилижан","30,000 ֏ daily",AMD,"Дом находится в чудесном месте, в окружение леса, прекрасный вид на город и горы, дом для ценителей и комфорта и красоты, в доме 8 комнат, 10 санузлов, 2 зала камин в зале проектор, в подходит для коворкинг, для проведение праздников, конференции, есть 2 больших телевизора, и проектор, в залах, для подробностей и звоните. Цена на 1-ого человека, завтрак, абед и ужин отдельно обсуждается.",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/18163734
Townhouse,Stone,120 sq.m.,2,5,2,,,Euro Renovation,500 sq.m.,,,,,,"Orjonikidze Street, Dilijan station","60,000 ֏ daily",AMD,"Private house ""DilGarden guest house"" is for daily rent in Dilijan. Designed for 10-12 people, has all the utilities:Living room, kitchen, 4 bedrooms, 2 bathrooms, large balcony, pavilion.Blood heater, wi-fi.Address: C. Dilijan, Ordzhonikidze 80 (Takhta district)Call for more information. Price is negotiable.Thank you, we will look forward to it.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/16687561
House,Stone,100 sq.m.,3,3,1,Available,3 or more spots,Designer Renovation,400 sq.m.,4,Yes,No,Included,By Agreement,Tavush › Dilijan,"30,000 ֏ daily",AMD,"Hotel- house ""Hello! ""Ամանորին տրվում է 5 (հինգ) ննջասենյականոց տարբերակը (ընդհանուր 10 սենյակ), օրավարձը 130000դրամ, տվյալները և նկարները կուղարկեմ անձնականինՏրվում է վարձով նոր կապիտալ վերանորոգված՝ դիզայներական ոճով, առանձնատուն կոմունալ բոլոր հարմարություններով; Գտնվում է Դիլիջանի Թախտա թաղամասում, մոտ է անտառին /10p/ և կենտրոնին / 5ր/ ․ Հյուրատունը առանձնատան առաջին հարկն է' բարձր առաստաղ, ունի առանձին մուտք ու բակ, տաղավար, այգի, երկու ննջասենյակ /4 + 2 տեղ/, մեծ հյուրասենյակ, խոհանոց, սանհանգույց ։ Հագեցած է կոմունալ բոլոր հարմարություններով, կենտրոնական ջեռուցում ՝ Baxi համակարգ:Անձը ' 7000 դրամ6 և ավելիի դեպքում օրավարձը' 50000 դրՄուտքը ՝ 13–00 ից հետոԵլքը ՝ մինչև 12–00Отель-дом ""Hello! ""Сдается частный дом с новым дизайнерский ремонтом, со всеми коммунальными удобствами. Домрасположен в лучшем районе Дилижана, находится рядом с лесом / 10p / и вблизи центра / 5 мин / ․ Гостевой дом - первый этаж частного дома, имеет отдельный вход и двор, беседку, сад, две спальни /4 + 2 места/, большую гостиную, кухню, санузел. Подведены все коммуникации, центральное отопление - система Baxi.Вблизи дома: Аптека и магазины продуктовые, детский садик, школа, остановка общественного транспорта.Место нахождения посмотреть на Гугл картыСдается как по суточному, так и по месячноеВ случае более 6 человек в день суточная плата составляет 50 000 драм.Можно арендовать по долговременнойВход после 13:00Выход до 12:00",Nov-24-2022_22-59,"TElevision, internet, air conditioner, barbecue oven, gazebo, alarm system","FRidge, stove, coffee maker, washing machine, water heater, iron",,,,,,https://list.am/en/item/16932684
House,Stone,1000 sq.m.,2,4,1,,,Major Renovation,1000 sq.m.,,,,,,Tavush › Dilijan,"30,000 ֏ daily",AMD,"400,000 drams for the New Year from December 31 to January 6The mansion has3 bedrooms1 living room1 bathroomhas an air conditioning system (air conditioner)There are also kitchen utensils (refrigerator, gas stove, microwave oven, washing machine, dishes)heating with a baxi boiler,The garden (1000 sq/m) is fenced on four sides.Parking lotbooth (intended for 15 people)MangalTable tennisFree WiFiWe also have the possibility to watch a movie on the big screen (projector) Outdoor swimming poolhyuratun dilijanum, guest house in Dilijan, daily rent house.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/11938087
House,Stone,1400 sq.m.,3,5,3+,Available,3 or more spots,Euro Renovation,,8+,Yes,No,By Agreement,2 weeks,"Tsaturyan Street, Dilijan station","130,000 ֏ daily",AMD,"Star Apartment invites you to spend an unforgettable vacation in the lap of nature.The mansion has 3 floors, is equipped with all modern amenities + WiFiOn the 1st floor there is a sauna - (the usage fee is not included in the rent), dressing room, bathroom, kitchen, billiards and table tennis.On the 2nd floor there is a large balcony, a kitchen with all amenities, a dining room with a fireplace and 2 bedrooms with their own bathrooms.On the 3rd floor there are 3 bedrooms, each with its own bathroom and balcony.Long-term rental is also possible.! WE WORK WITHOUT AN INTERMEDIARY.Translated from Armenian",Nov-24-2022_22-59,"TElevision, internet, air conditioner, sauna, fireplace, barbecue oven, billiard, gazebo","FRidge, microwave, washing machine",,,,,,https://list.am/en/item/15482252
House,Stone,390 sq.m.,3,4,3+,Available,Not available,Euro Renovation,1000 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"99,000 ֏ daily",AMD,"House for rent in Dilijan. Guest house for rent in Dilijan. A house in Dilijan, a house in Dilijan.A house is for daily rent in Dilijan. The house is designed for 10-12 people. This house has:Kitchen (with all its utensils)Spacious living room4 bedrooms3 bathroomsInternetSaunaSwimming pool (indoor and outdoor)Another living room with a fireplace.Outside, Besedka with all its amenities.It is very suitable for spending a nice time with families or friends.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/13815223
House,Stone,800 sq.m.,2,5,3+,Available,1 spot,Major Renovation,600 sq.m.,6,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"500,000 ֏ monthly",AMD,"A spacious and bright private house is for rent in the central part of Dilijan3 bathrooms4 bedrooms2 kitchens1 living roomfully furnishedindividual heating systema fireplaceThe house is located in the busy part of DilijanThere is a supermarket, pharmacy, kindergarten, etc. In the areaCode E2004Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/18375768
House,Stone,105 sq.m.,2,5,1,,,Euro Renovation,,,,,,,"Sayat-Nova Street, Dilijan station","15,000 ֏ daily",AMD,"Private house for rent in Dilijan.The house has 3 bedrooms, a living room, a kitchen, and a bathroom. The house is fully renovated, equipped with all utilities, WiFi is available.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/18045458
House,Stone,52 sq.m.,2,1,1,Available,Not available,Designer Renovation,1000 sq.m.,4,Yes,No,Included,By Agreement,Tavush › Gosh,"45,000 ֏ daily",AMD,"Loft Miller - Gosh - Cottage in Gosh__* bedroom* living room* bathroom* balcony* beautiful nature scene——2 persons: 45,000 (with breakfast)4 persons: 60,000 (with breakfast)——Entry: 14:00Departure: 12:00——Call for details, mention: Loft Miller - Gosh...——DilijanGoshdaily wageprivate househouses for rentreal estaterenthousesper diemcottageapartmentCode LoftMillTranslated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/16811961
