Type,Floor Area,Address,Price,Currency,Description,Datetime,Prepayment,Utilities,Amenities,Links
Garage,18 sq.m.,"Charents Street 1st Lane 6/12, Yerevan","25,000 ֏",AMD,"A stone garage is for rent in the center of Charnts, on the 1st lane. It is also very suitable for storage.Translated from Armenian",Nov-24-2022_16-43,,,,https://list.am/en/item/18303971
Garage,18 sq.m.,"Muratsan Street, Yerevan","25,000 ֏",AMD,"Available on loan. Garage, clean condition, fully concreted iron gatecall the specified phone number for details.Translated from Armenian",Nov-24-2022_16-43,,,,https://list.am/en/item/18355816
Garage,20 sq.m.,"Amiryan Street 20, Yerevan","35,000 ֏",AMD,"URGENT EMERGENCY For sale OR for rent, garage in the center, in the yard of Amiryan 20 building, suitable for storage.Translated from Armenian",Nov-24-2022_16-43,By Agreement,,,https://list.am/en/item/17421036
Parking Space,20 sq.m.,"Цицернакабердское шоссе 1/2, Ереван","30,000 ֏",AMD,Վարձով պարկինգ Դալմա Պարկինգ-3 հարկ. 2-местный Паркинг находится под жилым домом по соседству с ТЦ Далма,Nov-24-2022_16-43,,,,https://list.am/en/item/15092261
Garage,80 sq.m.,"Nelson Stepanyan street 1, Yerevan","250,000 ֏",AMD,"Two garages for rent, each 40 square meters can be used as a warehouse or workshop.Translated from Armenian",Nov-24-2022_16-43,,,,https://list.am/en/item/18330275
Garage,25 sq.m.,Yerevan › Davitashen,"45,000 ֏",AMD,Space given for rent to be used as a storage with questions please contact with the phone number listed,Nov-24-2022_16-43,,,,https://list.am/en/item/18374735
Garage,20 sq.m.,Yerevan › Avan,"20,000 ֏",AMD,"Сдается гараж в райное Исаакян, рядом с магазином Наирии.",Nov-24-2022_16-43,,,,https://list.am/en/item/18328912
Garage,60 sq.m.,"Leningradyan street, Yerevan","30,000 ֏",AMD,"Large, spacious garage, near the main road.Translated from Armenian",Nov-24-2022_16-43,By Agreement,,,https://list.am/en/item/17071562
Garage,60 sq.m.,Yerevan › Kentron,"220,000 ֏",AMD,A garage is for rent in the center at 97 Charents street. 1st line on the road. It is possible to change it to office.Translated from Armenian,Nov-24-2022_16-43,,,,https://list.am/en/item/17671964
Garage,60 sq.m.,Yerevan › Kentron,"220,000 ֏",AMD,"A garage is for rent in the Center, at 97 Charents Street. Located on the road. Suitable for all types of activities. Can be changed to office.Translated from Armenian",Nov-24-2022_16-43,,,,https://list.am/en/item/17670844
