Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Appliances,Window Views,Parking,Amenities,The House Has,Links
Stone,Yes,Not available,3,48 sq.m.,2,1,from 2.75 m,1,Closed balcony,Designer Renovation,Shirak › Gyumri,"7,000 ֏ daily",AMD,2-room apartment with all communal amenities is for rent or daily rent in Gyumri.Translated from Armenian,Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17043263
Stone,Yes,Not available,1,120 sq.m.,2,1,from 3 m,1,Open balcony,Euro Renovation,"Furmanov street, Gyumri","25,000 ֏ daily",AMD,"Օրավարձով է տրվում տուն՝Գյումրու կենտրոնում: Տունը կապիտալ վերանորոգված է, տեղադրված են եվրո պատուհաններ և միջսենյակային փայտյա դռներ: Հատակը սալիկապատված է, ննջասենյակում՝ մանրահատակ: Տունն ապահովված է շուրջօրյա ջրամատակարարմամբ և գազամատակարարմամբ։Տունը նախատեսված է 6-7 անձի համար։Տունն ունի խոհանոց ՝իր բոլոր հարմարություններով, լոգարան և լոգասենյակ։ ՈԻՆԻ 2 ԿԱՅԱՆԱՏԵՂ. «Сдается дом в центре Гюмри посуточно. Дом полностью отремонтирован, установлены евро окна, межкомнатные деревянные двери. Пол выложен плиткой, в спальне - паркет. Дом обеспечен круглосуточной водой и газом. Дом рассчитан на 7-8 человек. В доме есть кухня со всеми удобствами, ванна, душевая. Две парковки",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17617007
Stone,Yes,Not available,3,40 sq.m.,1,1,from 2.75 m,2,Open balcony,Euro Renovation,Shirak › Gyumri,"90,000 ֏ monthly",AMD,"Apartment for rent in Gyumri, very comfortable with all natural utilitiesTranslated from Armenian",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17055815
Stone,Yes,Not available,5,40 sq.m.,1,1,from 2.75 m,5,Open balcony,Cosmetic Renovation,Shirak › Gyumri,"9,000 ֏ daily",AMD,Сдаётся посуточно квартира со всеми удобствами в центре Гюмри.,Nov-24-2022_17-53,Available,2,Yes,Yes,By Agreement,By Agreement,,,,,,https://list.am/en/item/18125392
Bricks,No,Not available,2,200 sq.m.,5,1,from 2.6 m,2,Closed balcony,Cosmetic Renovation,"Օդանավակայան 2-րդ թաղամաս 1, Գյումրի","180,000 ֏ monthly",AMD,Здается частный. Дом двухэтажный. Есть все необхадимое,Nov-24-2022_17-53,,1,Yes,Yes,Not included,1 month,,,,,,https://list.am/en/item/18348132
Stone,Yes,Not available,4,89 sq.m.,3,1,from 2.8 m,3,Not available,Euro Renovation,"Aragats street, Գյումրի","30,000 ֏ daily",AMD,"Apartment for rent in the center of Gyumri, air conditioner, refrigerator, wi-fi, 2 smart TVs. Breakfast in the Central Square is also given for a long term of 300,000 per month, utility costs on usTranslated from Armenian",Nov-24-2022_17-53,,5,Yes,No,Not included,2 months,,,,,,https://list.am/en/item/17819731
Monolith,Yes,Not available,4,47 sq.m.,2,1,from 2.75 m,1,Closed balcony,Designer Renovation,"Եղիշե Չարենցի փողոց 1, Գյումրի","220,000 ֏ monthly",AMD,"A newly renovated apartment is for sale, call for details, viewing on a daily basisTranslated from Armenian",Nov-24-2022_17-53,,2,No,No,Not included,2 weeks,,,,,,https://list.am/en/item/16910694
Stone,No,Not available,5,72 sq.m.,3,1,from 2.5 m,2,Closed balcony,Euro Renovation,Shirak › Gyumri,"200,000 ֏ monthly",AMD,"180,000 for long-term rentTranslated from Armenian",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/16829422
Monolith,Yes,Not available,4,100 sq.m.,4,1,from 2.8 m,2,Closed balcony,Partial Renovation,"Улица Егише Чаренца 2, Гюмри","135,000 ֏ monthly",AMD,"Срочно в городе Гюмри сдаётся в аренду 4 комнатная квартира со всеми удобствами на длительный срок. Есть мебель и бытовая техника, круглосуточный горячий и холодный вода. Возле дома есть садик и школа. Цена договорённый. Сдаётся и семьям и военнослужащих без семей. С депозитом",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/18200231
Stone,No,Not available,3,20 sq.m.,1,1,from 3.2 m,2,Open balcony,Major Renovation,"Проспект Тигран Мец 8, Гюмри","150,000 ֏ monthly",AMD,Срочно сдается в аренду 1 комнатная квартира очень тёплаяБудете первыми жильцами (150 000 аренда + 50 000 депозит) всё по договору после оплаты спустя месяц (на ремонт) заселяетесьновый ремонт все трубы проводка сантехника итд новоеЕвро окноЖелезная дверьСолнце греет квартиру даж суровой зимой обогревать толком не надКвартира будет доступна через месяц (окончание ремонта)Если интересует можете писать или звонить,Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17628440
