Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Parking,Links
Multifunctional Space,270 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,By Agreement,By Agreement,"Narekaci street 43, Vanadzor","500,000 ֏",AMD,"270m for rent. Building with a square area. Suitable for any type of activity. Euro-renovated, gas, water, three-phase electricity. It is located on the Yerevan-Tbilisi highway, on the first floor of a five-story building. The sale is possible in installments.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17439100
Retail Space,28 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,1 month,1 month,Not included,"Myasnikyan street 3, Vanadzor","150,000 ֏",AMD,"Shop (premises) in Vanadzor, Myasnikyan 3, at the intersection of the clothing market, For rent.Furnished, ready to work immediately. It has a bathroom, constant water. The sidewalk can also be used.Call only by Whatsapp or ViberTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17733037
Retail Space,40 sq.m.,,,,,,,,,"Երևանյան խճուղի, Վանաձոր","30,000 ֏",AMD,Call for detailsTranslated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/17485820
Industrial and Manufacturing,100 sq.m.,,,,,,,,,Lorri › Vanadzor,"80,000 ֏",AMD,"Industrial space for rent, suitable for any activity, electricity, water, there is a separate office, there is also a 900 sq / m fenced area, there is a possibility to expand the building from the backTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/16888728
Agricultural Space,480 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,5 years,Without prepayment,By Agreement,Lorri › Margahovit,"110,000 ֏",AMD,"Cattle farm for rent in Margahovit village of Lori marz. It is in good condition, the area is 480 square meters (12m×40m), it has a fenced adjacent area of 3000 square meters, and a house for living.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18338550
Functioning Business,5000 sq.m.,,,,,,,,,Lorri › Shirakamut,"250,000 ֏",AMD,"Ready-made business is for rent. Fish recreation area with its pavilions. It is on a 5000 m plot of land along the river bank. It is suitable for any agrarian business and not only. Everything is adapted for literate activities. There is a guard house in the area for furnished residence. 450 m The lakes are fed directly from the Chichkhan River with fresh water. It is not artesian. The well circulates and flows into the river. For different jobs. Hurry up, the season is starting, your new business is waiting for you, a very convenient area for starting a multifunctional businessTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/16462619
Retail Space,10 sq.m.,,,,,,,,,Lorri › Alaverdi,"5,000,000 ֏",AMD,The stretcher can be rented out and can be used for different businesses.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/17073183
Retail Space,90 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,2 years,1 month,Not included,"Garegin Nzhdeh Street, Vanadzor","200,000 ֏",AMD,"Business-commercial space for rent at Nzhdeh 4, next to the shoe factory, former Mall store. Sale is also possible.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17971765
Retail Space,30 sq.m.,,,,,,,,,"Tigran Mets Avenue 50, Vanadzor","170,000 ֏",AMD,Commercial space for rent.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/17647998
Industrial and Manufacturing,250 sq.m.,,,,,,,,,Lorri › Vanadzor,"100,000 ֏",AMD,"A bread production area is for rent, there is a large stone fireplace for making bread, it is also suitable for making different types of sweets.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18211712
Industrial and Manufacturing,3000 sq.m.,,,,,,,,,"Shirakatsi street 1, Vanadzor","1,000,000 ֏",AMD,"A building is for rent, it is suitable for food, sewing or other production, it needs major repairs.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18193860
Industrial and Manufacturing,1500 sq.m.,,,,,,,,,"3rd lane 3rd street 8, Darpas","200,000 ֏",AMD,"Արտադրությունը ունի երեք արտադրամաս։ (բլոկների, մայթերի սալիկների և օժանդակ ցեխ որտեղ աճեցվել են սունկեր։ Արտադրությունը ունի սեփական բարձրավոլտի տրանսֆորմատոր և սեփականաշնորհված արտեզյան ջուր։ Տարածքը հնարավոր է ընդլայնել։ Կարող են ընդունվել տարբեր պայմաններ։ В територии производство имеется три цеха где производилис перегародчные блоки, брусчатки а еще шир потреб! В територии имеется постоянная родниковая вода, трансформатор на 100квт! Для организации работ может принимается новые предложение! Об остальных вопросов звонить по российскому номеру на Вацап или Вайбер!",Nov-24-2022_22-31,,https://list.am/en/item/16629036
Retail Space,2150 sq.m.,,,,,,,,,Lorri › Vanadzor,"$3,000",USD,"Аренда1.Может использоваться в производственных и складских целях.2. Также есть отремонтированные офисные помещения.3. На участке есть газ, вода, трехфазное электричество и все остальные удобства.4. Высота зданий более 4-х метров, что позволяет въезд большегрузных автомобилей, а также свободную работу погрузчиков внутри.5. Размер площади также позволяет свободно передвигаться по станции и на месте большегрузным автомобилям (фурам)6. Он расположен по дороге к Химическому заводу, в 1,3 кмот центральной площади Ванадзора.7. Общая площадь составляет 2150 квадратных метров, а площадь складских и офисных помещений – 900 квадратных метров.8. Имеет выход прямо на главную улицу",Nov-24-2022_22-31,,https://list.am/en/item/18013783
Hotel,60 sq.m.,,,,,,,,,Lorri › Stepanavan,"10,000 ֏",AMD,"Family recreation area HOTEL Sochi Rezort Stepanavan for 4-6 people, swimming pool, pavilions, playground, restaurant... The hotel is designed for 30 people. # dendropark # hyuratun # hyuranoc:Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/9293638
Hotel,60 sq.m.,,,,,,,,,Lorri › Stepanavan,"8,000 ֏",AMD,"Family recreation area HOTEL Sochi Resort Stepanavan for 4-6 people, swimming pool, pavilions, playground, restaurant... The hotel is designed for 30 people. Daily guest houseTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/9307761
Retail Space,30 sq.m.,,,,,,,,,Lorri › Vanadzor,"150,000 ֏",AMD,"For rent with zero entry, bathroom, security systems: Camera, alarm, business space...Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18237264
Multifunctional Space,210 sq.m.,,,,,,,,,"Tumanyan street 2, Vanadzor","580,000 ֏",AMD,"Բանկերին, վարկային կազմակերպությունНедвижимость сдается в долгосрочную аренду в центральной части Ванадзора. Это площадь 70 квадратных метров от улицы, с которой можно открыть вход в другую площадь на первом этаже здания 140 кв. М.Հարմար է բանյի, վարկային կազմակերպության, փաբ սրճարանի համար:",Nov-24-2022_22-31,,https://list.am/en/item/17872310
Retail Space,256 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,3 years,By Agreement,Not included,"Agayan street 76, Vanadzor","500,000 ֏",AMD,"Business space for rent in the busiest part of Dimats district. Can serve any business idea. 256 square meters, 2 floors together, 3.2 meters ceiling height. Call real peopleCode 7557PATranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18133828
Restaurant,500 sq.m.,,,,,,,,,Lorri › Vanadzor,"300,000 ֏",AMD,"A restaurant with everything is for rent near the city of Vanadzor. Ready business, first line, details by phoneTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17551720
Industrial and Manufacturing,1000 sq.m.,By agreement,Not available,First Line,Separate from the Street,Direct Lease,6 months,By Agreement,By Agreement,"Վիրահայոց փողոց 78, Ստեփանավան","600,000 ֏",AMD,"Վարձով է տրվում գործարանի տարածք Ստեփանավանում, Գոգավանի մաքսակետի ճանապարին, կա նաև գրասենյակային տարածք նույն պես տրվում է վարձակալությամբ։Сдаюеся производственное помещение в Лорийской области, город Степанаван, на трассе в сторону Гогаванской таможнии, так же имеется административное помещение.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18207028
Retail Space,140 sq.m.,,,,,,,,,"Tigran Mets Avenue, Vanadzor",$850,USD,"Commercial area, 140 sq. M. Մ. (1st floor 72, semi-basement floor 68 sq. M.) Tigran-Mets building 67, year 20, 2nd line.Suitable for beauty salon, office, courses, medical center, dental clinic…Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17742118
Retail Space,58 sq.m.,,,,,,,,,"Tigran Mets Avenue 10, Vanadzor",$400,USD,"Առեվտրային տարացք, 58ք. Մ. (1-ին հարկ 34, կիսանկուղային հարկ 24 ք. Մ.) Տիգրան-Մեծ շենք 10, տար 41, 1-ին գիծ, մուտքը փողոցից (Բարձորակ վերանորոգում) ։ Վերանորոգված, անվտանգության համակարգ, ջեռուցվող հատակներ, սանհանգույց:",Nov-24-2022_22-31,,https://list.am/en/item/16244089
Office Space,270 sq.m.,,,,,,,,,"Улица Низами 55/9, Ванадзор","700,000 ֏",AMD,"3 этажана первом этаже гараж на 2 мето, сауна, туалет, скалдые помещения.На втором этаже большой зал и 3 комнаты, туалет.На третьем этаже большой зал (10 х 5 метр), 2 комнаты и 3 откратых балкона. Красивый отдельный двор с местом парковки. Двор можно обставлять на свой вкус (организовать место отдыха)",Nov-24-2022_22-31,,https://list.am/en/item/18070635
Multifunctional Space,60 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,Without prepayment,Not included,"Բաղրամյան փողոց 6, Ստեփանավան","90,000 ֏",AMD,"Commercial space for rent, Lori, Stepanavan city, Baghramyan 6/4. The space is on the first line, 2nd floor of a separate building, the entrance is separate, from the street. The space has been completely renovated, it has not been used. It is located on the interstate (Armenia-Georgia) on the road. Stepanavan center. There is a bathroom, electricity and water in the area. It has 2 beautiful balconies. Call for details.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18055254
Retail Space,40 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,3 months,1 month,Not included,"Isahakyan 1st lane, Vanadzor","30,000 ֏",AMD,"A 40 square meter apartment is for rentprovided with all utilities, bathroom,with hot and cold waterSuitable for any operationFor shop, office, hair salon, etcTHE PERIOD is divided into two parts25 square meters and 15 square metersThe rent for 25 square meters is AMD 30,000The rent for 15 square meters is AMD 20,000The apartment is still for sale.It is also exchanged for an apartment in YEREVANor with my own house at an additional cost from me.ALSO WITH A MORTGAGE,PROPERTY MORTGAGE.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/13026541
Retail Space,70 sq.m.,,,,,,,,,"Ռումինական փողոց 4, Ստեփանավան","60,000 ֏",AMD,It is for rent. Call a viber or badass number.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/17545023
Office Space,260 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,2 years,By Agreement,Not included,Lorri › Vanadzor,"550,000 ֏",AMD,"Renovated, with all communal facilities. In the center of the city, Mkhitar-Gosh 2Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17994168
Retail Space,700 sq.m.,,,,,,,,,Lorri › Vanadzor,"500,000 ֏",AMD,"A building material store is for rent in the beginning of Vanadzor, next to a broken church.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17162341
Office Space,30 sq.m.,,,,,,,,,"Գրիգոր Լուսավորչի փողոց 48, Վանաձոր","90,000 ֏",AMD,"Commercial areas of different surfaces are for rent, 5-50 square meters, the prices depend on the square meter, the square meter costs AMD 3000.The space is renovated and equipped with heating.For details, call the phone number in the picture.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18292564
Retail Space,120 sq.m.,Not available,Not available,Second Line,Common from the Street,Direct Lease,1 month,1 month,Not included,"Vardanants Street, Vanadzor",450 ֏,AMD,"Vardanants street, Vanadzor 86 2/2. The area is located next to the music school in Artsakh Park, it has all the utilities. It is suitable for carrying out any activity. The area is 2 floors, it is given together, but also separately.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18361754
Building,1281 sq.m.,,,,,,,,,Lorri › Vanadzor,"65,000 ֏",AMD,The size of the land is 0.1443 hectares. The building is 1281.45 square meters. 3 floors.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/17675083
Industrial and Manufacturing,100 sq.m.,,,,,,,,,Lorri › Vanadzor,"70,000 ֏",AMD,"Space for rent, suitable as a warehouse, production space, shop, etcTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18164438
Restaurant,269 sq.m.,,,,,,,,,Lorri › Vanadzor,"2,000 ֏",AMD,"Հասցե: Լոռու մարզ, ք. Գյումրի, Մոսկովյան 7, երկաթուղային կայարան:«Հարավկովկասյան երկաթուղի» ՓԲԸ-ն վարձակալության է հանձնում տարածքներ Վանաձոր երկաթուղային կայարանի շենքի 2 հարկում: Մանրածախ և գրասենյակային, հանգստի կազմակերպման կամ սննդի կետերի համար: Սենյակները ունեն բարձր առաստաղներ, պահանջվում է վերանորոգում:Հարմար է գտնվելու վայրը և ուղևորափոխադրումների բարձր մակարդակը, ներառյալ զբոսաշրջությունը, Ձեր բիզնեսը կապահովի բազմաթիվ հաճախորդներով:Բոլոր հետաքրքրող հարցերով Դուք կարող եք զանգահարել հետևյալ հեռախոսահամարով՝(060) 46-32-91Лорийская марз, г. Ванадзор, ул. Московяна 7, ж/д станцияЗАО ""Южно-Кавказская железная дорога"" предоставляет в аренду помещения на 2 этаже здания вокзала ст. Ванадзор под торгово-офисные, развлекательные виды деятельности, либо пункты общественного питания. Помещения имеют высокие потолки, требуется ремонт.Удобное расположение и высокий пассажиропоток, в том числе туристический, обеспечит Ваш бизнес многочисленными клиентами.По всем интересующим вопросам Вы можете обратиться по тел.: (060) 46-32-91.",Nov-24-2022_22-31,,https://list.am/en/item/13636540
Agricultural Space,400 sq.m.,,,,,,,,,Lorri › Vanadzor,"60,000 ֏",AMD,"For rent in Taron 4 imotakaik, a cattle barn is suitable for cows and pigs with cages」shepherd」 for keeping chickens, a birdhouse with a room to stay in the place, there is a barn, a shelter from the Herustatsi, water and electricity is provided.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18301619
Warehouse,75 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,3 months,By Agreement,Not included,"Աղայան փողոց 14/1, Վանաձոր","40,000 ֏",AMD,"The storage area is for rent, which can be used for public and domestic purposes, it is located in the center of the city, at the beginning of Aghayan street. The total area of the area is 75 sq. M. Of which 50 sq. M. The part is spare, and 25 sq. M. It is a garage that can also be used as a spare part. The space is located on the 1st floor of a residential building, the entrance is separate from the outside through the garage /owner/.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18344681
Retail Space,75 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,"Garegin Nzhdeh Street, Vanadzor","150,000 ֏",AMD,"Տրվում է վարձով Խանութի տարածքը, որը կարող է օգտագործվել որպես գրասենյակային, հասարակական և կենցաղային նշանակության, այն գտնվում է քաղաքի կենտրոնում՝ հարկադիր կատարման ծառայության/ԴԱՀԿ/ անմիջապես դիմաց։ Տարածքի ընդհանուր մակերեսը 75 ք. Մ. Է, ունի նաև փոքրիկ աշխատասենյակ և 15 ք․մ նկուղային հարկ։ Առկա է գազ, մշտական ջուր, սան. Հանգույց, ջրի բաք, իտալական BAXI ջեռուցման և բարձրակարգ անվտանգության համակարգեր /սեփականատեր/։Сдается в аренду площадь магазина, которую можно использовать под офис, под общественного или бытового назначения, помещение находится в центре города, прямо напротив Службы принудительного исполнения (JACES) Общая площадь 75 квадратных метров. Մ. Есть небольшой офис, подвал 15 кв. М. Есть Газ, постоянная вода и сан. Узел, резервуар для воды, система отопления итальянской фирмы BAXI и системы безопасности высокого качества / собственник /.",Nov-24-2022_22-31,,https://list.am/en/item/17013775
Retail Space,600 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,By Agreement,"Alek Manoukyan street, Spitak","1,000,000 ֏",AMD,The total area of the two-story stone building is 600 square meters.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/17648705
Multifunctional Space,157 sq.m.,,,,,,,,,"Վահան Տերյանի փողոց 1, Վանաձոր","400,000 ֏",AMD,"Помещение отремонтировано, проведена система отопления, в наличии трёх фазное электричество, есть система сигнализации и т. Д.Без посредникаՏարածքը վերանորոգված է, տեղադրված է ջեռուցման համակարգ, առկա է եռաֆազ հոսանք, առկա է ահազանգ և այլն։Առանց միջնորդի",Nov-24-2022_22-31,,https://list.am/en/item/18146129
Industrial and Manufacturing,60 sq.m.,,,,,,,,,"Moskovyan street 56/1, Vanadzor","100,000 ֏",AMD,"60 for rentQ. M area with all utilities. Suitable for production and other purposes. Suitable for small family or students. An apartment with 5 rooms, a kitchen, 2 bathrooms, a large balcony with 2 floors is for rent.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/16048811
Retail Space,450 sq.m.,,,,,,,,,"Մոսկովյան փողոց 65Ա, Վանաձոր","450,000 ֏",AMD,"For rent: 3-storey 120 and 230 sq. M. M and 100 sq. M areas. There are separate entrances. It is suitable for trade, warehouse and other commercial purposes. It is located next to a wholesale fruit and vegetable market. It is also proposed to sell the entire building with a total of 700 square meters + adjacent 60 square meters of land, which can be developed equal to 60 square meters of indoor and 60 square meters of open yard space. The mentioned areas can be rented. Also individually.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/16751442
Industrial and Manufacturing,3000 sq.m.,,,,,,,,,Lorri › Vanadzor,800 ֏,AMD,"1 m - 800 AMDWarehouse, production, livestock and office buildings are for rent. The whole area is fenced, gasified.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17959853
Multifunctional Space,40 sq.m.,,,,,,,,,"Ղազարոս Աղայանի փողոց 11, Վանաձոր","55,000 ֏",AMD,"Ունի հանգստի սենյակ և սանհանգույց։ Կարող է ծառայել որպես մթերայինխանութ, պահեստ, վարսավիրանոց, համակարգչային սենյակ ավտոպահեստամասերի կետ, ավտոդետալների վերանորոգման արհեստանոց, գրասենյակ և այլն։Առկա է եռաֆազ հոսանք։Есть комната отдыха и санузел. Может служить как продуктоыйМагазин, склад, парикмахерская, IT компьютерный зал, магазин автозапчастей, мастерская, офис и т. Д.Доступен трехфазный ток.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17795895
Retail Space,70 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,3 months,1 month,Not included,"Թումանյան փողոց 6Ա, Վանաձոր","120,000 ֏",AMD,Մակերես70 m2Հասցե: Թումանյան 6 ա ՝ ք. ՎանաձորԳրասենյակային տարածք`կահավորված բոլոր հարմարություններովСдаем в аренду офисное помещение 70 кв. М. В центре Ванадзора.For rent office premise in the centre of Vanadzor 70sq. M.,Nov-24-2022_22-31,,https://list.am/en/item/10264969
Office Space,70 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,1 month,By Agreement,Not included,"Tumanyan street 6, Vanadzor","100,000 ֏",AMD,Տրվում է վարձով բնակելի տարածք 70ք. Մ. Վանաձորի կենտրոնում՝ բոլոր հարմարություններով:Сдаем в аренду офисное помещение со всеми удобствами 70 кв. М. В центре Ванадзора.For rent office premise in the centre of Vanadzor 70sq. M,Nov-24-2022_22-31,,https://list.am/en/item/11428716
Functioning Business,60 sq.m.,,,,,,,,,"Shinararneri street, Vanadzor","100,000 ֏",AMD,The area is located at Shinararner 5 - 2.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/17685563
Retail Space,100 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,"Վերածննդի փողոց 1Ա, Վանաձոր","150,000 ֏",AMD,It operated as a grocery and convenience store for many years. It has a basement storage. It has adequate shelves for storage and the basement is also furnished with shelves. It is also possible to sell together with the apartment built in the back. Call for more informationTranslated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/18286975
Multifunctional Space,190 sq.m.,,,,,,,,,"Բաղրամյան պողոտայի 2-րդ փողոց 15/1, Վանաձոր","280,000 ֏",AMD,"For rentSuitable for shop, office, bakery15/15 Baghramyan AvenueTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17935621
Functioning Business,180 sq.m.,,,,,,,,,"Թևոսյան նրբանցք, Վանաձոր","120,000 ֏",AMD,Վարձով է տրվում բլոկի արտադրամաս 180 մ2 փակ տարածք և 250 մ2 բաց տարածք բոլոր անհրաժեշտ հաստոցներով և սարքավորումներով:,Nov-24-2022_22-31,,https://list.am/en/item/14302590
Everything Else,88 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,4 months,By Agreement,Not included,Yerevan › Nor Nork,"150,000 ֏",AMD,"Сдается помещение мойки, автосервиса, во 2-норкском масиве. Имеет два выхода на разные улицы. Имеется кабинет, санузел. Может использоваться, как склад.",Nov-24-2022_22-31,OUtdoor parking,https://list.am/en/item/17536846
Office Space,20 sq.m.,,,,,,,,,"Mkhitar Gosh street, Vanadzor","150,000 ֏",AMD,"The building shown in the pictures is for rent. Inside there is a bathroom with permanent water շատ very good repair.Suitable for office, law office or as a store. The location is also very convenient right in front of the court building.In case of questions, call and make an appointment with the mentioned phone number.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17948498
Multifunctional Space,270 sq.m.,,,,,,,,,"Улица Газароса Агаяна Е2, Ванадзор","200,000 ֏",AMD,"The area is suitable for a children's cafe, IT courses and other courses. It is given for a long term. The price is negotiableTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17473212
Warehouse,200 sq.m.,Not available,Available,Second Line,Separate from the Courtyard,Direct Lease,6 months,1 month,By Agreement,"Viktor Hambartsumyan street 8, Vanadzor","100,000 ֏",AMD,It is suitable as a storage area and for production activities. The price is negotiable.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/18024190
Building,260 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,3 years,2 months,Not included,"Улица Лазян 34-1 , Ванадзор","1,300,000 ֏",AMD,"Здание находится в центре города, в проходимом месте.Подвал 70 кв м, 1й этаж 160кв м, 2й этаж 130кв м, Автостоянка 10 маш. Мест.Общестроительные работы подходят к завершению, внутренняя планировка и отделка по желанию арендатора.Арендовать можно поэтажно.",Nov-24-2022_22-31,OUtdoor parking,https://list.am/en/item/16849388
,,,,,,,,,,Lorri › Vanadzor,"15,000 ֏",AMD,"Event hall for daily rent 50 sq. M.Affordable price, call for detailsTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/16817895
Everything Else,25 sq.m.,,,,,,,,,"Vardanants Street 21, Vanadzor","2,200 ֏",AMD,"Office spaces of 25-45 square meters for rent at Vardanants 21, Vanadzor city1 square meter - 2200 AMDTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/6414513
