Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links
Country House,Stone,1230 sq.m.,2,4,3+,Major Renovation,1000 sq.m.,Kotayk › Jrvezh,"100,000 ֏ daily",AMD,"Երկհարկանի ամառանոց օրավարձով Ջրվեժում - - - - - -Վարձով է տրվում երկհարկանի առանձնատուն Ջրվեժ թաղամասում։230քմ բնակելի մակերեսը, 1000քմ հողատարածքը։Առաջին հարկում առկա է խնջույքի սենյակ, խոհանոց, սանհանգույց, լոգարան, փայտե շոգեբաղնիք՝ իր հանգստի սենյակով։Առանձնատանը առկա են խորովածի շշերի տեսականի և սպասք 15-20հոգու համար։Երկրորդ հարկում առկա է հյուրասենյակ, 3 ննջասենյակ, սանհանգույց, լոգարան։Ունի բացօթյա տաղավար, որը նախատեսված է մոտ 20 հոգու համար։ Գիշերակացը՝ մինչև 10-12 հոգու համարԲացօթյա լողավազան, մանղալ-բուխարի։Բոլոր կոմունալ հարմարություններով, Ջեռուցման համակարգ, ինտերնետ։ Դարպասները հեռակարավարվող են։ Ամբողջ հողատարածքը լուսավորված է։Հնարավոր է տրամադրել նաև երկարաժամկետ։Գինը ներառում է 14:00 - 23։00։ Գիշերակացով (14:00 - 12:00) ՝ 120․000 դրամ։Տրամադրվում է նաև ամսավճարով՝ 2․000․000 դրամ։Լրացուցիչ տեղեկությունների համար զանգահարել նշված հեռախոսահամարներով։Сдается двухэтажный дом в Джрвежском районе.230 квадратных метров жилой площади, 1000 квадратных метров земли.На первом этаже банкетный зал, кухня, санузел, ванна, деревянная сауна с комнатой отдыха.В доме есть шампуры для барбекю и посуда на 15-20 человек.На втором этаже гостиная, 3 спальни, санузел, ванна.Есть открытый павильон, который рассчитан примерно на 20 человек. Ночевка до 10-12 человек.Открытый бассейн, барбекю-камин.Со всеми коммуникациями, отоплением, интернетом. Ворота с дистанционным управлением. Вся земля освещена.Можно взять долговременно.В стоимость входит 14:00 - 23:00. С ночевкой (14:00 - 12:00) - 120․000 драм.Также предоставляется с ежемесячной платой в размере 2 000 000 драмов РА.Для получения дополнительной информации звоните по указанным номерам телефонов.",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/16750505
House,Stone,700 sq.m.,3,5,3+,Designer Renovation,700 sq.m.,Kotayk › Nurnus,"1,000,000 ֏ monthly",AMD,"Сдается на длительний срок современный частный дом в 17 км от Еревана, в селе Нурнус, Котайская область.В доме естьбассейнзимняя кухнямангалтандырпавильонсадпогреб5 спаленкухня5 ванные комнатыпосудагазовая плитахолодильникстиральная машинапосудомоечная машинаWi-Fi",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/18355853
Country House,Stone,250 sq.m.,3,3,2,Euro Renovation,250 sq.m.,Kotayk › Tsakhkadzor,"40,000 ֏ daily",AMD,"We do not provide for New YearThe pictures are new and correspond to reality.Has 1 living room-kitchen (with double sofa-bed)Kitchen (fridge...)Fireplace2 bedrooms with double bedsLobby on the 2nd floor2 bathroomsSpacious yard with lawnGarageWiFi:Mangal - with barbecue dogsChat roomRegardless of the number of people, the cost is the same.You can spend the night here with up to 8 adults, and spend time without overnight accommodation with more than 10 friends.In NovemberThe cost of one day is 40,000 AMD (instead of 50,000) In case of renting for two days or more, the cost of one day is 35,000 (instead of 45,000) AMD.The price of the New Year's package is different.Rest in Tsaghkadzor, hotel in Tsaghkadzor.Caxkadzor цахкадзор:Quiet private houseTranslated from Armenian",Nov-24-2022_22-33,Available,2 spots,"TElevision, internet, fireplace, barbecue oven, gazebo","FRidge, stove, coffee maker, washing machine, water heater, iron",8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/17979959
Country House,Stone,1500 sq.m.,2,6,2,Designer Renovation,700 sq.m.,"Ծաղկի հրապարակ 3, Tsaghkadzor","120,000 ֏ daily",AMD,"Private house for daily rent in the center of Tsaghkadzor5 bedrooms,2 bathrooms,Mangal,High speed internetWI-FI + TV Ucomdishesbedding,booth for 20-22 peopleovernight stay 10-12 peopleMonday-Thursday: 120,000 AMDFriday, Saturday, Sunday: 130,000 - 160,000 AMDthe price changes depending on the number of days$5000 per monthWE ARE WAITING FOR YOU WITH LOVE!Tsakhkadzor: 4 HOUSE, KETSAK ANDREAS STREETTranslated from Armenian",Nov-24-2022_22-33,Available,3 or more spots,,,8+,Yes,Yes,Not included,By Agreement,https://list.am/en/item/17624432
House,Stone,140 sq.m.,3,3,3+,Designer Renovation,170 sq.m.,Kotayk › Tsakhkadzor,"35,000 ֏ daily",AMD,"‼️СДАЁТСЯ ‼️‼️Посуточно в Цахкадзоре ‼️Сдаётся 3-ёх этажный дом для отдыха со всеми удобствамиНовостройка, полностью меблирована, новый ремонт.Дом рассчитан от4 до 6 человек (максимум 8)1-ый этаж закрытый гараж2-ой этаж гостинная с камином, кухня оснащённая необходимой техникой и посудой,санузел, отдельный двор с кирпичным мангалом со всеми принадлежностями для шашлыка3-ий этаж 2 большие спальни каждая со своей ванной комнатой.Дом сдаётся с постельным бельём и гигиеническими принадлежностями.…Рядом с домом сосновая роща прекрасный вид из окон, свежий воздух прекрасная природа.Очень хороший вариант для отдыха.…Цены за одну ночь (день)Заезд 14:00Выход 12:002-3человека- 35000драм4-человека-40000драм5-человек-45000драм6-человек-50000драм…",Nov-24-2022_22-33,,,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/17057389
House,Stone,1300 sq.m.,2,4,2,Major Renovation,900 sq.m.,Kotayk › Karashamb,"70,000 ֏ daily",AMD,"Address: Kotayk marz, Karashamb village,The house is available for daily rent for family vacations, as well as for organizing events.The mansion was completely renovated in 2020.House for daily rent or long-term rent, Kotayk marz, Karashamb village. It is 22 kilometers away from Yerevan, on the road to Aghvera;Permanent hot and cold water, carbonatedindividual heating systemThe bathrooms are tiled.3 bedrooms, living room, kitchen, cable internetfireplace, refrigerator, washing machine, TVmangal, pavilion,There are many pictures, we can send them if you wish.For details and additional information, call:The house is rented for up to 25 people, overnight accommodation for up to 10 people.Translated from Armenian",Nov-24-2022_22-33,Available,3 or more spots,,,8+,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/18297264
House,Stone,80 sq.m.,1,3,1,Designer Renovation,168 sq.m.,"28-րդ փողոց 18, Զովունի","680,000 ֏ monthly",AMD,"Վարձով է տրվում նորակառույց սեփական տուն Դավթաշենին կից գեղեցիկ կանաչապատ բակով, ավտոկայանատեղիով ներսում, օդորակիչով, երկու ննջասենյակ, ընդարձակ նորաոճ ընդհանուր սենյակ, ժամանակակից խոհանոց, սանհանգույց բոլոր հարմարություններ, հակաառովանգման համակարք, ինտերնետ, թվային հեռուստաալիքներ, բոլոր հարմարություններ կան։ Օդանավակայանից դիմավորում֊ճանապարում։3 օր օրական 35.000 դրամ7 օր օրական 32.000 դրամ10 օր օրական 30.000 դրամ15 օր օրական 28.000 դրամ30 օր օրական 25.000 դրամՏրվում է նաև երկարաժամկետ։Сдается частный дом новой постройки с красивым зеленым двором, прилегающим к Давташену, крытый паркинг, кондиционер, две спальни, просторная современная общая комната, современная кухня, санузел со всеми удобствами, противоугонная система, интернет, цифровые телеканалы, все удобства доступны.",Nov-24-2022_22-33,,,,,2,Yes,No,By Agreement,Without prepayment,https://list.am/en/item/18124906
House,Stone,140 sq.m.,2,4,1,Partial Renovation,2000 sq.m.,Kotayk › Nurnus,"180,000 ֏ monthly",AMD,"Дом в аренду Ереван аренда վարձով տուն квартира в аренду арендаՏունը Գտնվում է նուռնուսի գլխավոր փողոցի մոտ ասֆալտապատ լուսավոր փողոց, բոլոր հարմարությունները կան գազ, ջուր, լույս, ինտերնետ, ունի մեծ կանաչ բակ բոլոր հարմարություններով, քարե ցանկապատ ավտոկայանատեղիով,խանութ, կանգառ, դպրոց մոտ են:Երեվանից 25կմ, Աբովյանից 12կմ հեռավորության վարա, Նոր հաճն Աբովյանբնակարան տուն վարձով տունСдается в аренду 3-х эт дом в дачном уч Нурнус имеет красивый сад2000кв м 3 спальни 1 зал билярдная кухня санузел камин газ вода элГараж прямо на трассе от Еревана 25км от Абовяна 12 км от Бюрегавана 5 кмЕсть все необходимое для проживания",Nov-24-2022_22-33,,,,,5,Yes,Yes,Not included,2 months,https://list.am/en/item/18375832
House,Stone,75 sq.m.,1,2,1,Designer Renovation,150 sq.m.,Kotayk › Tsakhkadzor,"25,000 ֏ daily",AMD,Զանգահարելիս նշել Michi house...**2 ննջարանհյուրասենյակխոհանոցսանհանգույցբաց պատշգամբ**7 անձ**check in 14:00check out 12:00,Nov-24-2022_22-33,Available,Not available,"TElevision, internet","FRidge, iron, hair dryer",7,Yes,No,Included,By Agreement,https://list.am/en/item/17357680
House,Stone,140 sq.m.,1,3,1,Euro Renovation,1000 sq.m.,Kotayk › Hankavan,"60,000 ֏ daily",AMD,"A detached house is for daily rent in Tsaghkadzor community, Village Pyunik, with a wonderful view and a wonderful yard. The mansion is available for daily rent for family vacations as well as organizing events. There are 2 bedrooms, 1 bathroom, 1 kitchen-studio, there are 2 sofa beds.The cottage has all the amenities to make your weekend perfect.Swimming pool.• Call ahead for reservations and detailsA house for rent not far from Tsakhkadzor, with all amenities, with a gorgeous view of the mountains. Hot and cold water, WI-FI, pool. Do not forget to spend your vacation with us. Call in advance for booking! It is possible for a long timeTranslated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/17941099
