Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Parking,Links
Retail Space,65 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,2 months,Not included,"Rubiniants street, Yerevan","420,000 ֏",AMD,"Newly renovated space for rent or sale on Rubinyants Street, 1st line. There is an air conditioner, hot and cold water, and a bathroom in the area.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18326950
Office Space,100 sq.m.,,,,,,,,,"Verin Antarayin Street 121/7, Yerevan","970,000 ֏",AMD,"5D ModelPlanner5d. Com/v?key=ccd6f96a4e7b1701fea54a88e2069a5f& viewMode=2dՏրվում է վարձով գրասենյակային տարածք Վերին Անտառային 121/7 հասցեում ՝ նորակառույց 6 հարկանի շենքի 1-ին հարկում, այն տեղակայված է Կասկադի վերնամասում՝ Շառլ Ազնավուրի տուն-թանգարանից 100 մ հեռավորության վրա (Կասկադից 5 րոպե ոտքով ճանապարհ) :Տարածքը մաքսիմալ հարմարեցված է IT ոլորտի և նմանատիպ այլ ոլորտների աշխատակիցների համար:Այն իր մեջ ներառում է• ընդարձակ աշխատանքային գոտի (Open Space)• 2 առանձին սենյակներ• 2 սանհանգույց• խոհանոց՝ կահավորված և համալրված անհրաժեշտ տեխնիկայով:• առկա է մշտական ջուր, լույս, բարձր դասի անհատական ջեռուցման և հովացման համակարգ, օդափոխության համակարգ, մի քանի օդորակիչներ• Ucom՝ գերհզոր ինտերնետային համակարգ՝ 4 հատ Wi-Fi սարքերով• Տեսահսկման համակարգ• Տարածքի հետ կտրվի 1 անհատական ավտոկայանատեղի (Parking) շենքի նկուղային հարկում:Այժմ տարածքում կատարվում են վերանորոգման աշխատանքներ, տեղադրված են ընթացիկ նկարներ:• Տարածքը պատրաստ կլինի վարձակալության հանձնել 05.10.2022թ. - ին:• Ամսեկան վարձավճարը կազմում է՝ 970.000 դրամ։• Մինչև պատրաստ լինելը կարող եք ամրագրել այն՝ կնքելով վարձակալության պայմանագիր• Տրվում է վարձով անմիջապես սեփականատիրոջ կողմից• Ամրագրելու համար զանգահարել նշված հեռախոսահամարով-----ՈՒՇԱԴՐՈՒԹՅՈՒՆ! -----️ԲՐՈՔԵՐՆԵՐԸ ՉԶԱՆԳԵՆ️Сдается офисное помещение по адресу Верин Антараин 121/7, на 1 этаже нового 6-этажного дома, расположенного на вершине Каскада, в 100 м от дома-музея Шарля Азнавура (5 минут пешком от Каскада)Пространство максимально адаптировано для сотрудников IT-сектора и других подобных сфер.Это включает в себя• Просторная рабочая зона (Open Space)• 2 отдельные комнаты• 2 туалета• Кухня с мебелью и необходимой бытовой техникой.• Есть постоянная вода, электричество, индивидуальная система отопления и охлаждения высокого класса, система вентиляции, несколько кондиционеров• Ucom: Мощная интернет-система с 4 устройствами Wi-Fi• Система видеонаблюдения• Вместе с участком будет предоставлено 1 индивидуальное парковочное место в нижнем этаже здания.В настоящее время на территории ведутся ремонтные работы, выложены актуальные фотографии.• Площадь будет готова к аренде в 05.10.2022.• Ежемесячная арендная плата составляет 970.000 драм• Вы можете зарезервировать его, подписав договор аренды до того, как он будет готов.• Сдается непосредственно владельцем.• Для бронирования позвоните по указанному номеру телефона.Office space for rent at Verin Antarain 121/7, on the 1st floor of a new 6-six-story building located on the top of the Cascade, 100 meters from the house-museum of Charles Aznavour (5 minutes walk from the Cascade)The space is maximally adapted for employees of the IT sector and other similar areas.It includes• Spacious working area (Open Space)• 2 separate rooms• 2 toilets• Kitchen with furniture and necessary appliances.• There is permanent water, electricity, high-class individual heating, and cooling system, ventilation system, and several air conditioners.• Ucom: Powerful internet system with 4 Wi-Fi devices.• Video surveillance system.• 1 individual parking space will be provided on the lower floor of the building.Currently, renovation work is underway on the territory, and actual photos have been posted.• The area will be ready for rent on 05.10.2022.• Monthly rent is 970.000 AMD• You can reserve it by signing the rental agreement before it's ready.• Rented directly by the owner.• To book, call the phone number provided.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18348078
Office Space,100 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,1 month,Not included,"Nar-Dos street, Yerevan","150,000 ֏",AMD,"Commercial-office space for rent at Nar-dos-Kristapor intersection100 sq/m. 1st line. Basement areaIt is strictly forbidden to copy /screenshot/ photos and post them on other pages and announcements, keep the copyright of the agency.Code QRT300Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17020029
Retail Space,29 sq.m.,,,,,,,,,Yerevan › Ajapnyak,"130,000 ֏",AMD,CODE 8277:Commercial area is for rent on Leningradyan street. The area is renovated. Suitable for various activities.Translated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/15533990
Office Space,80 sq.m.,,,,,,,,,Yerevan › Kentron,"575,000 ֏",AMD,"Office space is for rent on Koryun street. Individual heating, suitable for various office activities.Code 9252Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17883340
Office Space,150 sq.m.,Not available,Not available,First Line,Common from the Courtyard,Direct Lease,1 year,6 months,Not included,Yerevan › Kentron,"550,000 ֏",AMD,"Office space is for rent on Koryun street, 2nd floor. The area is renovated, heating boiler, air conditioner are installed, suitable for programming, legal and other activitiesCode 8903Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17485944
Multifunctional Space,150 sq.m.,,,,,,,,,"Beknazaryan street, Yerevan","550,000 ֏",AMD,"Araj line is capitally renovated, the 1st floor is givenIndividual heatingBathroom:Security systemBeknazaryan 8/4Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/16802256
Automotive Service,60 sq.m.,,,,,,,,,Yerevan › Ajapnyak,"150,000 ֏",AMD,Workshops for rent at affordable pricesTranslated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/16098510
Office Space,100 sq.m.,Not available,Not available,Second Line,Common from the Courtyard,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"$2,500",USD,"Office space is for rent on Nalbandyan street. The area is renovated, suitable for various office activities.Code 9115Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17722930
Multifunctional Space,173 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"$2,800",USD,"Two-storey commercial area is for rent on Tpagrichner street. The area is renovated, the area of the 1st floor is 98 square meters, the area of the basement is 75 square meters. It is possible to rent partially. Suitable for various activities.Code 8847Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17387118
