Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Furniture,Window Views,Appliances,Links
Stone,No,Not available,1,126 sq.m.,5,1,from 2.7 m,1,Closed balcony,Cosmetic Renovation,"Սուրեն Մատնիշյան փողոց 238, Գյումրի","$40,000",USD,"A privatized apartment on the first floor of a stone building, on the second floor, is for sale. It has constant water, electricity, gas, internet, it is heated, there is a yard, a garage. Near the 5th school.Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/18028756
Stone,No,Not available,4,86 sq.m.,3,1,from 2.7 m,4,Open balcony,Cosmetic Renovation,Shirak › Artik,"$16,000",USD,"Urgent sale of a 3-room apartment in Sasuntsi Davti 2/3 flat. 7 (Shushi buildings district), next to the 5th school. The door is iron, the kitchen is furnished.Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/17101856
Stone,No,Not available,5,56 sq.m.,3,1,from 2.6 m,3,Closed balcony,Major Renovation,"Մանուշյան փողոց 16Ա, Գյումրի","$40,000",USD,Details telephone overhaul euro repaired baxTranslated from Armenian,Nov-25-2022_14-08,,,,,,https://list.am/en/item/15992398
Monolith,Yes,Not available,5,78 sq.m.,3,1,from 3 m,5,Multiple balconies,No Renovation,"Ախուրյանի խճուղի 1/1, Գյումրի","$50,000",USD,Akhuryan road in Gyumri. Newly built apartment of 78 sq. M. With 2 open balconies for sale.Translated from Armenian,Nov-25-2022_14-08,"INtercom entry, playground",OUtdoor parking,Not available,"YArd view, street view, city view",,https://list.am/en/item/16290501
Stone,No,Not available,5,59 sq.m.,2,1,from 2.8 m,4,Not available,Cosmetic Renovation,"5-я улица Антараван 16Б, Гюмри","$23,000",USD,"Продаю 2-х комнатную квартиру в жилом доме.Стоит аристон, дом утеплённый.Плитка в прихожей, в туалете и ванне.Все окна финские, изолированные, с 2-х слойным тетропактом.Входной дверь железный.Рядом есть садик и школаВся мебель остаётся.Хорошие и дружелюбные соседи.Чистая продажа, подходит под ипотеку.Агентам не беспокоить!",Nov-25-2022_14-08,,,,,,https://list.am/en/item/16346480
Stone,Yes,Not available,5,60 sq.m.,2,2,from 2.7 m,4,Closed balcony,Designer Renovation,"Կամոյի փողոց 38Ա, Գյումրի","$25,000",USD,"2-room apartment for sale. B. H warm apartment. Renovation in bright and warm colors will only lift your spirits. It has 2 bedrooms (1 with a sign), a closed balcony, which can be turned into a children's room. Located on the 4th floor of a 5-storey building. It has a water heater, a clean and tidy bathroom, a toilet. A school and a kindergarten are nearby, there are several playgrounds and shops in the yard. He has a garage. It is the most affordable apartment in the area.Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/16800195
Stone,No,Not available,1,58 sq.m.,3,1,from 2.7 m,1,Not available,No Renovation,"Spandaryan Street, Arevshat","$13,000",USD,"A 1-storey private house is for sale in Ar-Shat village, Shirak region, adjacent to a cattle barn, adjacent to a garage.Has 1300 square meters of land,has drinking water, lightThere is a possibility to draw gas.The house needs renovation.Translated from Armenian",Nov-25-2022_14-08,,,Available,,,https://list.am/en/item/17920072
Monolith,Yes,Not available,4,150 sq.m.,2,2,from 2.7 m,1,Not available,Cosmetic Renovation,"Պարույր Սևակի փողոց 2, Գյումրի","18,300,000 ֏",AMD,"The apartment is located in Gyumri city, P. Sevak Street, next to the Pedagogical Institute, is 2-storey with a privatized basement. The basement is also tiled and has a bathroom, the total area of the basement is 50 square meters. The apartment is also very suitable for commercial use, call for other questions. Exchange with own house is possibleTranslated from Armenian",Nov-25-2022_14-08,,,Not available,,,https://list.am/en/item/17951241
Stone,No,Not available,1,225 sq.m.,4,1,from 3.2 m,1,Closed balcony,Major Renovation,"Ղուկասյան փողոց 67, Գյումրի","$95,000",USD,The total area of the house is 225 m2.The area of the yard is 541 m2.Overhauled partThe rest by phone.Translated from Armenian,Nov-25-2022_14-08,,,Available,,,https://list.am/en/item/17636308
Stone,No,Not available,3,131 sq.m.,2,2,from 3.2 m,3,Multiple balconies,Designer Renovation,"Улица Саят-Нова 5, Гюмри","$75,000",USD,"Два уровня (этажа) Все коммуникации (вода, канализация, электрика, газ) новые. Кровля новая, усиленная. Планировка свободная, возможность планирования от двух до пяти комнат. Один открытый балкон смотрит на театр. Большие возможности расширения и бизнеса.",Nov-25-2022_14-08,,,Available,"YArd view, street view, city view","FRidge, stove, washing machine",https://list.am/en/item/18374383
Stone,Yes,Not available,4,60 sq.m.,2,1,from 3 m,3,Open balcony,Major Renovation,"9-я улица 6, Гюмри","15,000,000 ֏",AMD,"It is for sale, it is in good condition, the house has not been lived in, euro window repair, perfect condition, Mush 2 district, the last price, I will give you a daily rent, the price is negotiable.Translated from Armenian",Nov-25-2022_14-08,,,Available,,,https://list.am/en/item/18033053
Stone,Yes,Not available,4,60 sq.m.,2,1,from 3 m,3,Open balcony,Euro Renovation,Shirak › Gyumri,"15,000,000 ֏",AMD,"It is for sale, it is in good condition, the house has not been lived in, Mush 2 district, I am giving it as daily rent, the price is negotiable.Translated from Armenian",Nov-25-2022_14-08,,,Available,,,https://list.am/en/item/18066452
Monolith,Yes,Not available,4,60 sq.m.,2,1,from 3 m,3,Open balcony,Major Renovation,"9-я улица 6, Гюмри","15,000,000 ֏",AMD,"It is for sale, with heating system, with Euro windows, it has not been lived in, perfect apartment in Mush 2 district, I also give a daily rent of 10,000 drams, the price is negotiable.Translated from Armenian",Nov-25-2022_14-08,PLayground,OUtdoor parking,By agreement,YArd view,,https://list.am/en/item/17817740
Stone,No,Not available,4,96 sq.m.,4,1,from 2.75 m,2,Closed balcony,Old Renovation,"Aram Khachatryan Street 2, Gyumri","13,000,000 ֏",AMD,"The entrance door of the apartment is metal, the interior doors are wooden, the windows are metal-plastic, with all utilities.Code 11-08Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/18157042
Monolith,No,Not available,4,98 sq.m.,4,2,from 3 m,4,Closed balcony,Old Renovation,"Trdat Architector street 6, Gyumri","$28,000",USD,"A spacious 4-room apartment is for sale in 58 district (Ani district), Trdat Architect 6 building. The apartment has 2 floors, 4-5 floors, with a closed balcony.In the yard of the building there is a large garden with fruit trees.The apartment is in state condition.Exchange with an apartment in Yerevan is possible.Translated from Armenian",Nov-25-2022_14-08,,,By agreement,,,https://list.am/en/item/17200096
Stone,No,Not available,3,68 sq.m.,3,1,from 2.8 m,1,Closed balcony,Partial Renovation,Shirak › Gyumri,"$28,000",USD,"3-room apartment is for sale in Gyumri, on Shirakatsi street, 68 sq. M. Մ. , 1/3 floor, partial renovation, stone building.Translated from Armenian",Nov-25-2022_14-08,,,By agreement,,,https://list.am/en/item/17160520
Monolith,Yes,Not available,4,107 sq.m.,4,2,from 2.8 m,4,Not available,Partial Renovation,Shirak › Gyumri,"$35,000",USD,"The apartment is a duplex, occupies 4 and 5 floors. The windows are changed, there is an individual heating system, one of the bathrooms is completely renovated, the other is in good condition. There is a basement.Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/17389474
