Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links
Retail Space,136 sq.m.,"R. Gasparyan street, Parakar","300,000 ֏",AMD,136 sq. M. Is for rent. Area.Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17791292
Functioning Business,60 sq.m.,"Kamo street, Vagharshapat","250,000 ֏",AMD,"A business for rent: Fast food restaurant with all its equipment - 60 square meters, has a grill, shawarma machine, toaster, pager.It is located in the central part of Etchmiadzin, near the police station.Has all utilitiesTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18361807
Retail Space,152 sq.m.,"Shahumyan street, Armavir","150,000 ֏",AMD,"Adjacent to the Russian military unit, commercial building, 1st floor, 77 sq. M., basement, 74.1 sq. M.Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,Other,Separate from the Street,OUtdoor parking,Direct Lease,1 month,By Agreement,Not included,https://list.am/en/item/17577728
Retail Space,110 sq.m.,"2 block, Metsamor","80,000 ֏",AMD,"Three-phase electricity, water, capital, I will not pay a penny, call real people and those who want realTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18217147
Industrial and Manufacturing,170 sq.m.,Armavir › Echmiadzin,"700,000 ֏",AMD,For rent sewing workshop for details callTranslated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17884923
Retail Space,25 sq.m.,Armavir › Tairov,100 ֏,AMD,"Space for rent, Tairov, on the way to the airport, call for detailsTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17343322
Everything Else,120 sq.m.,"Nar-Dos street, Vagharshapat","250,000 ֏",AMD,"Located in the central part of Etchmiadzin, newly renovated, suitable for various activitiesTranslated from Armenian",Nov-24-2022_22-29,Not available,Not available,Second Line,Common from the Courtyard,OUtdoor parking,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18083346
Agricultural Space,5000 sq.m.,"St. Harutyun street, Parakar","60,000 ֏",AMD,Տրվում. Է. Վարձով. Կամ. Մաս. Մաս. Վաճառվում. Է. Հողատարածք. Կա. Գազ. Եվ. Ջուր. Հարմար. Է. Ջերմոցային. Տնտեսության. Համար կամ անասնագոմ հիմնելու նպատակով՚՚,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17447815
Retail Space,50 sq.m.,"Erevanyan street, Parakar","70,000 ֏",AMD,RENT. E. For rent. Owner. From. Commercial. Area. Renovated. Arajin. Line Old. Parakar. Gay. Post. In the neighborhood. Convenient. E. Commercial. Area. For. Huffzer. In the case. Call:Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17491909
Retail Space,2000 sq.m.,Armavir › Armavir,"150,000 ֏",AMD,"Production area for rent in Norapat village. The area is located on the central road from Norapa to Alashkert (Soviet) It has 2 units of 40 sq. M. A ready-made building with an area of meters, which can be used as a shop or for any type of business or production activity. All utilities are available, there is also three-phase electricity.Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Common from the Street,,Direct Lease,6 months,By Agreement,Not included,https://list.am/en/item/18057169
Office Space,80 sq.m.,Armavir › Armavir,"200,000 ֏",AMD,"Office space with all amenities, computers, printers, desks, furniture, local heating, three-phase electricity, hot water, cameras, security system. Located in a high mobility area, suitable for all kinds of activities.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17382643
Automotive Service,40 sq.m.,"Kamo street 5, Vagharshapat","120,000 ֏",AMD,The working space of the processor is provided for rent or transaction.Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16606927
Office Space,200 sq.m.,"Kamo street 5, Vagharshapat","400,000 ֏",AMD,"Сдается офисное помещение в аренду в центре Эчмиадзина, около школы N2 имени Гр. Нарекаци. Возможна частичная по усмотрению клиента.Վարձով է տրամադրվում գրասենյակային տարածք Էջմիածնի կենտրոնում (Գր․ Նարեկացու անվան N2 դպրոցի հարեվանությամբ) : Տարածքի տրամադրումը հնարավոր է ըստ նախընտրելի չափսերի:",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17654022
Everything Else,3000 sq.m.,Armavir › Echmiadzin,"2,000,000 ֏",AMD,"A 15-year-old 3.3-hectare healthy garden is for rent. In the garden there are apricots (shalakh - suitable for export, ajanabad, Khosrov shahi, Yeryanyan 14 - suitable for dried fruit), peach (early, middle-aged, suitable for export, dried fruit), plum (s, victoria, etc.) for export or for making dried fruits), poplar, almond, quince or hazelnut trees. If cultivated well, you can have more than 30 tons of fruit. The rental price is for the whole season, ie from the beginning of spring to autumn (in spring you start cultivating and watering until the end of autumn)Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16935742
Industrial and Manufacturing,1000 sq.m.,Armavir › Tairov,"400,000 ֏",AMD,A furniture factory with a laminate with all its machines is for rent.Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17611029
Agricultural Space,1000 sq.m.,"Kamo street, Vagharshapat","$12,000",USD,"A glass greenhouse for sale without a roof, in a plot of land with a machine, possible for sale together with the land. Production areaTranslated from Armenian",Nov-24-2022_22-29,Available,Available,First Line,Common from the Street,,Direct Lease,1 month,1 month,Not included,https://list.am/en/item/17563285
Industrial and Manufacturing,100 sq.m.,"Isahak Gasparyan street, Parakar","150,000 ֏",AMD,"100 square meter production area for rent in Parakar, total land area 600 square meters, fully fenced, with all utilitiesTranslated from Armenian",Nov-24-2022_22-29,Not available,Not available,Second Line,Common from the Street,,Direct Lease,6 months,1 month,Not included,https://list.am/en/item/18356173
Warehouse,350 sq.m.,Armavir › Tairov,"$3,500",USD,"Commercial space for rent with an area of 350 square meters, windows: Euro, hot and cold water, electricity, heating system. It has a very large parking space. A storage room, also a 50 square meter container with all the necessary facilities, a commercial space, can be used as a warehouse, suitable as a printing office. For more information, please call the address 99 Mayrakatyayin Street, Yerevan. The price is negotiable.Code 9397Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Common from the Street,,Direct Lease,1 month,1 month,By Agreement,https://list.am/en/item/18330274
Warehouse,350 sq.m.,Armavir › Tairov,"$3,500",USD,"Commercial space for rent with an area of 350 square meters, windows: Euro, hot and cold water, electricity, heating system. It has a very large parking space. A storage room, also a 50 square meter container with all the necessary facilities, a commercial space, can be used as a warehouse, suitable as a printing office. For more information, please call the address 99 Mayrakatyayin street, Yerevan. The price is negotiable.Code 9930Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Common from the Street,,Direct Lease,3 years,1 month,By Agreement,https://list.am/en/item/18328851
Warehouse,350 sq.m.,Armavir › Tairov,"$3,500",USD,"Commercial space for rent with an area of 350 square meters, windows: Euro, hot and cold water, electricity, heating system. It has a very large parking space. A storage room, also a 50 square meter container with all the necessary facilities, a commercial space, can be used as a warehouse, suitable as a printing office. For more information, please call the address 99 Mayrakatyayin Street, Yerevan. The price is negotiable.Code 8197Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Common from the Street,,Direct Lease,5 years,By Agreement,Included,https://list.am/en/item/18330220
